rpid,name,content,like,rcount
2046300883,好名字都被占勒,"想起了那时候还是个小学生的我在QQ游戏下棋，在浩方上打CS，08之后去打cf，在QQ上认识了许许多多世界各地，天南海北的同龄人，大姐姐，老大哥。那时候我的千千静听总有那么几首BGM。

这世纪的头十一二年间，在智能机和3G 4G还没发展开的时候应该是网络交友最友好的时间段，很多人都是单纯为了交朋友而来到互联网世界，没有人会在乎屏幕前的人高矮胖瘦美丑，在那个消息传递远不如现在便捷的时候，大家从QQ这样的平台上隔着屏幕走遍大江南北，了解不一样的中国。
大家因为网络飞速发展的时代在茫茫网海中遇见了彼此，十多年过去了，他们中的大多数早就没了联系，有些人的头像已经暗了好久，我希望只是因为他们忘了账号。一切都好，家庭幸福，生活美满～
[小电视_笑]",381,24
2046246037,脸肿字幕,98年的表示，我全都听过[害羞]，可能我真适应不了现在的某些歌曲了[生病],504,34
2055643175,搬搬_,以前电视里还会有那种音乐节目，每周会推荐新歌，发布排行榜，看到喜欢的记下来去网上找，那时候可没有什么粉丝打榜，好歌多到听不过来,338,13
2045898032,深坑四棵树,"1.不能说的秘密
2.亲爱的那不是爱情
3.杀手
4.日不落
5.月牙湾
6.专属天使
7.会呼吸的痛
8.逆光
9.中国话
10.离开地球表面
11.改变自己
12.无与伦比的美丽
13.爱情转移
14.倔强
15.如果你也听说
16.我不会唱歌
17.那年夏天宁静的海
18.小小
19.男人ktv
20.钟无艳
21.私奔到月球
22.你是我心内的一首歌
23.发现爱
24.黑糖秀
25.谢谢你的温柔
26.思念是一种病
27.晴天娃娃
28.酷爱
29.玩酷
30.特务j
31.梦里花
32.给未来的自己
33.最长的电影
34.我们说好的
35.湘南海鸥
36.我怀念的
37.空白格
38.淘汰
39.想太多
40.非你莫属
41.我们的歌
42.最美的太阳
43.爱死了昨天
44.爱在记忆中找你
45.痒
46.风吹麦浪
47.彩云之南
48.最后一个夏天
49.雨不停歇
50.断桥残雪
51.该死的温柔
52.有没有人告诉你
53.外滩十八号
54.青花瓷
55.白狐
56.天使的翅膀
57.等一分钟
58.老人与海
59.穷开心
60.自由飞翔",342,9
2045914339,七冠似似花,好快啊,1,0
2045926889,challengesky,还是打上歌手的好,3,0
2046004636,ChinaBTB,课代表出来！摩拜,1,0
2050465155,小王同学在努力178,太感谢了~正想建歌单呢,2,0
2058623433,Variegated-carp,回复 @rabbit0609 :建了歌单告之声呗，我收藏[害羞],1,0
2176721451,夏目有人想,回复 @rabbit0609 :只要你建歌单，我就是你的粉丝了,2,0
2187510084,萧渐璃,"2007的歌曲整理了一个歌单
http://music.163.com/playlist?id=3125440635&amp;userid=264696980",11,0
2311869706,琳咔咔咔,回复 @萧渐璃 :谢谢您！网易云歌单这里有了，浏览器打开就可以收藏了，小伙伴们快来啊,2,0
2618016323,超能黄瓜,回复 @萧渐璃 :谢谢！好人一生平安,0,0
2049279547,自导自演い,视频里杰伦3杀，5助攻！07年自导自演了不能说的秘密，承包了电影里所有的ost！出了我很忙这张专辑！给别人写的歌也都火了！年轻的杰伦太恐怖了！也太忙了！,318,6
2049988692,叶落苍穹,这一年跟开挂一样，写了多少大火的歌,16,0
2084346433,最后只剩猫陪我,夏洛特烦恼是不是暗示杰伦[doge][doge][doge][doge],1,0
2204762020,胖胖小飞贼,选秀那段是暗示周董,3,0
2242049999,小七一,分手出神专,0,0
2246810036,你的背彪,回复 @下一秒好运 :双截棍三年二班菊花台星晴,0,0
2532357890,大石剪刀,07年还有演唱会,2,0
2045873766,大佬鼠啊,从2006年华语乐坛来的举手,253,5
2322543160,清清清清妜,举手🙋打破惨案,0,0
3474916276,黑暗的岸,我不一样，我是从2005听过来的[tv_doge],0,0
3993257198,未完的,我是从04年来的,2,0
4533414504,DJ小易,举手,0,0
4599135281,kououk,直接搜的2007来的ww,1,0
2046501154,天海佑希病晚期,原来我听断桥残雪的时候才10岁？我咋觉得刚过去不久？!,252,18
2046248064,脸肿字幕,"直说吧，各位听了有没有想哭的感觉[大哭]
没错，你老了[doge]",193,26
2046516480,da1zi,切歌的时候：尼玛再多放一会啊😱,202,6
2084100064,怪物Rex,总有人把锅甩给韩流，我就想笑韩流歌曲不差而且国内大量翻唱韩流的歌曲比如《不得不爱》《死了都要爱》都是很不错的歌，自己市场走偏了不能怪别人，韩国到现在每年都能出一堆好歌，他们的个人音乐还有团体都走上世界也产生了很多优质歌曲，所以总是把错怪到别人身上是最偷懒的方式，国内现在最大问题就是光想模仿欧美日韩的外表但是总抓不住核心，就像这些年的综艺节目抄都抄不到核心。,231,14
2048011855,月氵虫,小时候听双截棍，听不懂，不喜欢周杰伦，07年的时候开始听杰伦的歌，然后嵩哥发了《城府》，然后追了嵩哥12年了，前几年变得很讨厌周杰伦，因为那时候很多人说嵩哥抄的杰伦的歌，自己的偶像不被大众承认挺让人烦的，然后什么QQ音乐三巨头之类的[捂脸][捂脸][捂脸]，让自己愈发的讨厌杰伦。但是到最后长大了，杰伦结婚了，嵩哥跟老谢都跑去做菜了，也就感觉，不知道该干啥了，也就是这时候想到，或许当初喜欢杰伦的这帮人，也是跟我们一样，一开始不被大众认可的吧。现在再回头听这些歌，他娘的杰伦的歌我怎么每首都会唱[无语][无语][无语],185,22
2054280263,夜离渊,这才是真正的华语乐坛呐  虽然都是老歌 确实是一代经典 这里面90%的歌都是耳熟能详 歌手更是人尽皆知,45,0
2045924535,黯雨案语,下期吧肯定有小酒窝。稻香。北京欢迎你。下雨天。独家记忆。突然好想你。棉花糖。爱丫爱丫等等等等,152,2
2181178855,夏末千忆夜,弹幕里怎么那么多人看不上凤凰传奇？讲真这组合要颜值有颜值要才华有才华，歌曲传唱度高的令人发指,137,3
2076368537,烽少Madrid,在那个神仙打架的年代周杰伦依然能轻松完成八杀，独占鳌头，真不愧是华语乐坛的音乐皇帝！,61,6
2085368049,一只蓝云,为什么在彩云之南，月亮之上等这些歌的弹幕上会有问号呢？？这么多年了我还是觉得很好听呀,140,6
2057890985,田峄凡,我不希望等10年后有人听我们这个时代的歌的时候对他们留下印象的只有渡来渡去不知道渡谁的渡我不渡她，喵喵喵，汪汪汪的学猫叫，还有我真的很怕黑，怕黑你开灯啊的孤芳自赏[捂脸],50,2
2058169934,这个名字可以了吧,所以这都是上古大神，如今华语音乐已是末法年代灵气稀薄，所以华语音乐会跟修仙一样最后完结[doge],136,3
2045908139,这个刀让我补一下,现在是一年挑不出来几首能听的,39,3
2048636840,bili_14638351,当年觉得这都是正常水平，现在才知道是神仙打架,113,1
2051692850,马克·卡文迪什,墙裂要求UP主上传个06和07年的网易云歌单（或者扣扣音乐歌单）,37,2
2052479863,心我爱说,"以前和现在有很明显的差距。
以前歌吐词清晰你知道他在表达什么。
现在歌啊啊啊喂喂喂窝窝窝完了，唱的什么玩意。而且还是大部分。
我的网易云收藏除了芒种都是老歌。[笑哭]",104,4
2064530514,咔布佧咘,很想听完整版的超长单p，几百分钟那种😌,42,0
2052949085,青衫隐灬琴师,零几年是全民偶像时代，靠卖唱片发展产业，制作周期相对长，首首经典。而现在网络发展过快，人们试听往都是几分钟，很多都是后期制作出来的，而且明星大都是流量明星，少了当年的一些沉淀。这是全社会需要反思的问题。,92,2
2048116143,天墉雪,04-08年，估计承包了我现在常听歌曲的80%吧……,42,1
2074005232,呆滞cing,"{\__/} 
( • . •)
/ >⚪️
你看到这个硬币了吗
{\__/} 
( • - •) 
⚪️< \ 
吃了也不给你
{\__/} 
( • . •)
/ >⚪️
开玩笑啦给你给你
{\__/} 
( • - •) 
⚪️< \ 
诶，我又抢回来啦
{\__/} 
( • . •)
/ >⚪️
给你啦给你啦不开玩笑辣 
{\__/} 
( • - •) 
⚪️< \ 
诶，骗你的略略略

Σ(っ °Д °;)っ
诶诶你怎么哭辣

{\__/} 
( • . •)
/ >⚪️👍⭐️
给你给你都给你",91,3
2082378896,lampslee,周杰伦牛逼啊 不仅自己的歌火 写给别人的也是大热单,34,0
2081766554,割嗝葛各,咱们内地歌坛自07年开始（06其实就已经开始了）网络歌曲和各种神曲就开始慢慢成为歌坛主流了，当然也是手机的快速普及时代，工农都用上了手机（没有贬低之意，之表达普及程度），当然，曾经港台流行乐主要的听众是以学生年轻人，除台湾省几大流行天王外，很多爆红歌手都是以青春、爱情为主题。但就是自0607年开始，因为手机的快速普及加之彩铃业务和下载的疯狂推广（当年我国版权意识并不强，百度链接随意下载），使听歌群体从学生变为了工农群体，他们中大多人对爱情的理解是“我们还能不能能不能再见面，我在佛前苦苦求了几千年”的生死绝恋，而非“逃不了最后谁也都苍老  写下我时间和琴声交错的城堡”这种娓娓道来的青涩爱恋。当然，台湾周、王、林、陶等大红大紫多年的歌手受得影响并不大，影响最大的是内地一些正经写流行歌的青年歌手，几乎就没了市场，外加各音乐公司看到了网络歌曲和神曲的快餐式口水歌带来的迅速且巨额的商业回报，从而更加速了内地流行乐自此走向下坡路的速度…这种快餐式流行乐到现在依旧残害着内地真正的流行乐创作，抄袭、低俗、无营养的口水歌比比皆是，甚至几年中国好歌曲火的时候，飙高音儿成了会唱歌的唯一标准。（个人看法，如有不同可以反驳评论讨论，不接受无脑喷[无语]）,89,3
2076760548,春天邮递员,应该就是从07年开始吧，周董从我长辈口中那个唱的啥都听不清楚的歌手，变成了那个唱青花瓷的歌手，从青花瓷开始至今我爸的手机铃声都是周董的歌,33,0
2073729927,Classic1896,也好意思叫神仙打架？这明明是诸神的黄昏。,96,4
